# Filter database
# 
# new filters denoted by a leading '>', with the format
#     	      '> [filter_name] [exponent scale] [source]'
# exponent scale denotes units; for example:
# 	   -10 = Anstroms
#	   -9 = Nanometers
#	   -6 = Microns
# any integer (or float) number will cause wavelength to be scaled to 10^[exponent scale]
# source is where the filter information was taken from, put something (or null for no information)

> PACS_100 -10 Null
#       lam (ang)   response
       1180500.0      0.69993118
       1181000.0      0.69787501
       1181500.0      0.69581685
       1182000.0      0.69375669
       1182500.0      0.69169454
       1183000.0      0.68963040
       1183500.0      0.68756427
       1184000.0      0.68656823
       1184500.0      0.68535661
       1185000.0      0.68435831
       1185500.0      0.68335893
       1186000.0      0.68214368
       1186500.0      0.68114203
       1187000.0      0.67992434
       1187500.0      0.67720001
       1188000.0      0.67468829
       1188500.0      0.67195898
       1189000.0      0.66922713
       1189500.0      0.66670817
       1190000.0      0.66397134
       1190500.0      0.66144758
       1191000.0      0.65849009
       1191500.0      0.65574566
       1192000.0      0.65299869
       1192500.0      0.65024919
       1193000.0      0.64749715
       1193500.0      0.64474258
       1194000.0      0.64198547
       1194500.0      0.63987479
       1195000.0      0.63797853
       1195500.0      0.63608045
       1196000.0      0.63396397
       1196500.0      0.63206219
       1197000.0      0.63015859
       1197500.0      0.62825318
       1198000.0      0.62526119
       1198500.0      0.62204944
       1199000.0      0.61883479
       1199500.0      0.61561724
       1200000.0      0.61239680
       1200500.0      0.60917346
       1201000.0      0.60594722
       1201500.0      0.60250049
       1202000.0      0.59883301
       1202500.0      0.59516227
       1203000.0      0.59148827
       1203500.0      0.58781101
       1204000.0      0.58434853
       1204500.0      0.58066484
       1205000.0      0.57719611
       1205500.0      0.57437925
       1206000.0      0.57134144
       1206500.0      0.56851941
       1207000.0      0.56569484
       1207500.0      0.56264906
       1208000.0      0.55981934
       1208500.0      0.55698707
       1209000.0      0.55327649
       1209500.0      0.54956265
       1210000.0      0.54584555
       1210500.0      0.54212519
       1211000.0      0.53840157
       1211500.0      0.53467469
       1212000.0      0.53094455
       1212500.0      0.52677199
       1213000.0      0.52259580
       1213500.0      0.51819624
       1214000.0      0.51401272
       1214500.0      0.50982559
       1215000.0      0.50541479
       1215500.0      0.50122032
       1216000.0      0.49724244
       1216500.0      0.49370173
       1217000.0      0.49015793
       1217500.0      0.48661106
       1218000.0      0.48306111
       1218500.0      0.47950809
       1219000.0      0.47595198
       1219500.0      0.47217195
       1220000.0      0.46816772
       1220500.0      0.46393902
       1221000.0      0.45992781
       1221500.0      0.45569196
       1222000.0      0.45167379
       1222500.0      0.44743078
       1223000.0      0.44340563
       1223500.0      0.43893390
       1224000.0      0.43423670
       1224500.0      0.42953552
       1225000.0      0.42483036
       1225500.0      0.42012121
       1226000.0      0.41540807
       1226500.0      0.41069096
       1227000.0      0.40596985
       1227500.0      0.40191166
       1228000.0      0.39785002
       1228500.0      0.39356246
       1229000.0      0.38949385
       1229500.0      0.38542180
       1230000.0      0.38112356
       1230500.0      0.37704454
       1231000.0      0.37296207
       1231500.0      0.36865315
       1232000.0      0.36434060
       1232500.0      0.36024763
       1233000.0      0.35592793
       1233500.0      0.35160461
       1234000.0      0.34727766
       1234500.0      0.34317066
       1235000.0      0.33838925
       1235500.0      0.33382761
       1236000.0      0.32903832
       1236500.0      0.32424505
       1237000.0      0.31967182
       1237500.0      0.31487067
       1238000.0      0.31006554
       1238500.0      0.30548071
       1239000.0      0.30134084
       1239500.0      0.29719753
       1240000.0      0.29305077
       1240500.0      0.28912523
       1241000.0      0.28497168
       1241500.0      0.28081470
       1242000.0      0.27665427
       1242500.0      0.27271542
       1243000.0      0.26877330
       1243500.0      0.26505312
       1244000.0      0.26110458
       1244500.0      0.25737815
       1245000.0      0.25342318
       1245500.0      0.24969051
       1246000.0      0.24572910
